"Postal code area","Inhabitants, total, 2014 (HE)","Females, 2014 (HE)","Males, 2014 (HE)","Average age of inhabitants, 2014 (HE)","0-2 years, 2014 (HE)","3-6 years, 2014 (HE)","7-12 years, 2014 (HE)","13-15 years, 2014 (HE)","16-17 years, 2014 (HE)","18-19 years, 2014 (HE)","20-24 years, 2014 (HE)","25-29 years, 2014 (HE)","30-34 years, 2014 (HE)","35-39 years, 2014 (HE)","40-44 years, 2014 (HE)","45-49 years, 2014 (HE)","50-54 years, 2014 (HE)","55-59 years, 2014 (HE)","60-64 years, 2014 (HE)","65-69 years, 2014 (HE)","70-74 years, 2014 (HE)","75-79 years, 2014 (HE)","80-84 years, 2014 (HE)","85 years or over, 2014 (HE)"
"02180 Mankkaa   (Espoo )",6620,3392,3228,37,304,482,608,329,192,192,222,165,384,535,528,548,492,439,394,357,200,119,72,58
"02200 Niittykumpu   (Espoo )",10034,5132,4902,38,483,552,603,273,181,194,645,831,914,853,638,610,645,567,576,606,378,233,140,112
"02210 Olari-Kuitinmäki   (Espoo )",11120,5788,5332,41,404,489,734,306,203,251,713,749,854,822,683,670,723,652,693,838,594,345,214,183
"02230 Matinkylä   (Espoo )",20122,10543,9579,38,804,977,1273,578,390,440,1478,1916,1711,1416,1282,1310,1268,1090,1122,1228,751,510,314,264
"02240 Friisilä   (Espoo )",2020,1024,996,38,62,115,206,94,65,56,82,50,94,119,171,187,183,117,127,123,101,36,22,10
"02260 Iivisniemi   (Espoo )",3784,1978,1806,38,137,208,369,152,104,106,157,159,212,297,263,335,325,290,210,163,96,102,71,28
"02270 Suomenoja   (Espoo )",2276,1123,1153,37,98,134,218,101,70,73,86,76,151,165,173,192,183,156,117,145,61,42,17,18
"02280 Puolarmetsä   (Espoo )",4370,2183,2187,35,221,285,366,204,133,121,192,195,375,397,320,394,367,280,198,142,78,55,27,20
"02290 Puolarmetsän sairaala   (Espoo )",16,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"02300 Nöykkiö   (Espoo )",2530,1265,1265,37,76,120,289,148,95,102,110,57,75,144,230,270,217,185,127,132,81,41,20,11
"02320 Kivenlahti   (Espoo )",16205,8588,7617,42,543,694,977,464,359,348,897,1015,1151,1157,1013,1086,1050,1016,1079,1389,781,555,360,271
"02330 Kattilalaakso   (Espoo )",8506,4292,4214,34,391,675,855,353,197,220,417,369,515,860,814,680,601,431,369,383,195,88,51,42
"02340 Latokaski   (Espoo )",5051,2553,2498,34,286,411,495,210,130,117,156,208,423,507,402,364,364,287,224,257,109,52,25,24
"02360 Espoonlahti   (Espoo )",9408,4881,4527,42,336,408,659,311,210,272,454,418,558,598,607,760,679,616,617,683,551,341,187,143
"02380 Suvisaaristo   (Espoo )",643,319,324,42,12,29,57,45,18,19,22,9,11,38,49,54,53,39,54,63,32,20,12,7
"02400 Kirkkonummi Keskus   (Kirkkonummi )",12406,6394,6012,40,386,617,1063,533,355,368,606,546,652,771,872,953,886,827,854,779,530,361,253,194
"02410 Gesterby   (Kirkkonummi )",2110,1053,1057,42,54,72,90,73,47,46,140,146,144,137,138,147,155,170,156,163,111,68,34,19
"02420 Jorvas   (Kirkkonummi )",1866,934,932,39,51,94,212,95,67,58,52,32,70,123,148,202,150,107,119,101,92,42,32,19
"02430 Masala   (Kirkkonummi )",4163,2069,2094,35,207,294,428,177,101,89,161,232,311,370,348,356,259,218,219,180,97,63,34,19
"02440 Luoma   (Kirkkonummi )",640,335,305,41,18,35,53,23,21,19,28,13,21,37,48,60,49,52,39,55,23,23,17,6
"02450 Sundsberg   (Kirkkonummi )",1825,928,897,29,130,214,260,58,22,20,17,64,158,259,238,128,74,70,43,34,18,10,7,1
"02460 Kantvik   (Kirkkonummi )",1634,788,846,39,43,74,136,65,51,49,87,78,77,94,120,141,153,145,111,94,51,35,22,8
"02470 Upinniemi   (Kirkkonummi )",354,153,201,40,8,6,12,12,4,11,38,35,22,17,23,36,40,32,32,19,5,2,0,0
"02480 Porkkala   (Kirkkonummi )",4393,2188,2205,36,188,330,414,179,129,116,173,126,277,395,354,356,336,255,242,233,133,87,35,35
"02490 Pikkala   (Siuntio )",322,152,170,40,12,18,15,8,2,3,20,18,28,33,22,26,16,29,28,25,7,5,3,4
"02510 Oitmäki   (Kirkkonummi )",485,237,248,40,16,22,32,26,17,11,22,18,21,31,34,55,35,39,37,19,22,16,8,4
