"Postal code area","Aged 18 or over, total, 2013 (HR)","Average income of inhabitants, 2013 (HR)","Median income of inhabitants, 2013 (HR)","Inhabintants belonging to the lowest income category, 2013 (HR)","Inhabitants belonging to the middle income category, 2013 (HR)","Inhabintants belonging to the highest income category, 2013 (HR)","Accumulated purchasing power of inhabitants, 2013 (HR)"
"05510 Päivärinta   (Hyvinkää )",375,24685,20965,77,216,82,9256791
"05620 Noppo   (Hyvinkää )",976,26529,25475,142,519,315,25891922
"05720 Kytäjä   (Hyvinkää )",380,25740,22189,83,184,113,9781302
"05800 Hyvinkää Keskus   (Hyvinkää )",8136,22635,20009,1410,5269,1457,184157724
"05810 Martti   (Hyvinkää )",3751,27717,25678,533,1897,1321,103967486
"05820 Mustamännistö   (Hyvinkää )",3827,24396,22831,647,2259,921,93364752
"05830 Kirjavatolppa-Kruununpuisto   (Hyvinkää )",5885,24822,22832,889,3481,1515,146079369
"05840 Hyvinkäänkylä-Vehkoja   (Hyvinkää )",2936,24885,22934,465,1781,690,73061167
"05850 Hyvinkää, sairaala-alue   (Hyvinkää )",0,0,0,0,0,0,0
"05860 Talvisilta   (Hyvinkää )",1132,23461,22246,181,723,228,26558349
"05880 Paavola-Vaivero   (Hyvinkää )",2941,19930,18291,644,1945,352,58613111
"05900 Vieremä   (Hyvinkää )",3432,23488,20469,546,2178,708,80611377
"05950 Ridasjärvi   (Hyvinkää )",316,23889,24010,58,185,73,7548782
"06100 Porvoo Keskus   (Porvoo )",14806,25578,22108,2382,8505,3919,378702082
"06150 Kevätkumpu   (Porvoo )",4675,23016,20675,865,2909,901,107598115
"06200 Porvoo itäinen   (Porvoo )",2030,24997,22703,350,1147,533,50743235
"06400 Gammelbacka   (Porvoo )",5280,24293,22268,883,3065,1332,128269331
"06450 Eestinmäki-Ernestas   (Porvoo )",1614,27304,24485,240,850,524,44069331
"06500 Saksala-Suomenkylä   (Porvoo )",1709,25913,23467,318,921,470,44286064
"06530 Kerkkoo   (Porvoo )",614,25789,24097,86,342,186,15834691
"06650 Hamari   (Porvoo )",1150,26352,23862,184,622,344,30305210
"06750 Tolkkinen   (Porvoo )",1252,27080,24891,171,674,407,33904271
"06830 Kulloonkylä   (Porvoo )",794,26994,24866,122,413,259,21433523
"06850 Kulloo   (Porvoo )",17,..,..,..,..,..,..
"06880 Kärrby   (Sipoo )",299,27237,24477,62,142,95,8143723
"06950 Emäsalo   (Porvoo )",317,25490,23081,60,164,93,8080381
"07110 Hinthaara   (Porvoo )",1047,27952,25550,151,550,346,29265536
"07130 Anttila   (Porvoo )",486,24433,22783,93,268,125,11874342
"07150 Laukkoski   (Pornainen )",695,27460,24830,110,371,214,19084537
"07170 Keski-Pornainen   (Pornainen )",1782,24820,24169,284,969,529,44228804
"07190 Halkia   (Pornainen )",1056,24608,23837,199,548,309,25986249
"07220 Kaarenkylä   (Porvoo )",247,24425,21112,49,141,57,6033000
"07230 Monninkylä   (Askola )",1157,25542,22943,187,667,303,29551521
"07280 Ilola   (Porvoo )",686,24496,23436,133,366,187,16804021
"07310 Sannainen   (Porvoo )",304,24068,24524,60,157,87,7316612
"07320 Jakari-Sannäs   (Porvoo )",352,25179,23380,58,205,89,8863060
"07350 Gäddrag   (Porvoo )",81,21497,20045,22,43,16,1741269
"07360 Tirmo   (Porvoo )",41,28547,27445,8,17,16,1170411
"07370 Pellinki   (Porvoo )",124,24170,19020,23,74,27,2997141
"07390 Suurpellinki   (Porvoo )",93,21406,19801,30,38,25,1990771
"07410 Kråkö   (Porvoo )",275,40200,21574,39,173,63,11055108
"07450 Voolahti   (Porvoo )",336,23253,22150,63,196,77,7812918
"07500 Askola Kirkonkylä   (Askola )",850,24009,22941,153,482,215,20407965
"07510 Vakkola   (Askola )",504,25459,23523,87,279,138,12831122
"07530 Onkimaa   (Askola )",247,23502,20645,56,136,55,5804965
"07550 Torpinkylä   (Pukkila )",233,22517,21193,50,137,46,5246405
"07560 Pukkila Keskus   (Pukkila )",1096,23751,21464,215,642,239,26031618
"07565 Kantele   (Pukkila )",218,22874,20333,60,108,50,4986563
"07580 Tiilää   (Askola )",55,29410,24241,9,30,16,1617571
"07590 Huuvari-Tiilää   (Askola )",484,23987,23377,92,256,136,11609585
"07600 Myrskylä Keskus   (Myrskylä )",1407,21116,18236,337,841,229,29709890
"07680 Juornaankylä   (Askola )",416,23044,20429,98,238,80,9586371
"07690 Kankkila   (Myrskylä )",123,22940,18961,33,71,19,2821621
"07700 Koskenkylän saha-alue   (Loviisa )",925,24223,22782,157,545,223,22406557
"07720 Malmgård   (Loviisa )",65,22587,18571,18,33,14,1468169
"07740 Gammelby   (Loviisa )",333,24627,22202,68,183,82,8200937
"07750 Isnäs   (Loviisa )",418,22489,20211,94,239,85,9400547
"07780 Härkäpää   (Loviisa )",159,20422,16242,58,71,30,3247164
"07800 Lapinjärvi Keskus   (Lapinjärvi )",744,20239,18072,158,486,100,15057958
"07810 Ingermaninkylä   (Lapinjärvi )",221,22421,20184,40,144,37,4955111
"07820 Porlammi   (Lapinjärvi )",450,28366,17447,116,248,86,12764626
"07830 Pukaro   (Lapinjärvi )",242,25987,21263,53,141,48,6288800
"07840 Lindkoski   (Lapinjärvi )",161,22730,19900,28,104,29,3659586
"07850 Heikinkylä   (Lapinjärvi )",259,21571,19297,71,136,52,5586764
