"Postal code area","Households, total, 2015 (TE)","Average size of households, 2015 (TE)","Occupancy rate, 2015 (TE)","Young single persons, 2015 (TE)","Young couples without children, 2015 (TE)","Households with children, 2015 (TE)","Households with small children, 2015 (TE)","Households with children under school age, 2015 (TE)","Households with school-age children, 2015 (TE)","Households with teenagers, 2015 (TE)","Adult households, 2015 (TE)","Pensioner households, 2015 (TE)","Households living in owner-occupied dwellings, 2015 (TE)","Households living in rented dwellings, 2015 (TE)","Households living in other dwellings, 2015 (TE)"
"01900 Nurmijärvi Keskus   (Nurmijärvi )",3991,2.2,40.9,264,140,1104,262,491,513,497,1688,1213,2784,1138,69
"01940 Palojoki   (Nurmijärvi )",287,2.7,43.7,8,3,106,14,32,58,60,94,92,271,10,6
"02100 Tapiola   (Espoo )",2480,1.7,38.5,336,166,340,96,186,150,104,1223,926,1378,1029,73
"02110 Otsolahti   (Espoo )",1475,1.9,35.3,238,131,264,87,155,102,65,839,377,881,547,47
"02120 Länsikorkee-Suvikumpu   (Espoo )",1569,1.8,36.5,281,115,270,91,153,109,60,858,448,959,567,43
"02130 Pohjois-Tapiola   (Espoo )",2598,2.3,39.3,173,109,758,195,394,331,263,1088,761,1884,652,62
"02140 Laajalahti   (Espoo )",1378,2.7,36.6,67,29,533,132,271,260,186,519,333,976,354,48
"02150 Otaniemi   (Espoo )",1871,1.8,24.2,716,299,81,39,58,25,11,1726,64,133,1722,16
"02160 Westend   (Espoo )",1251,2.5,50.7,44,29,431,94,181,190,189,444,389,1044,150,57
"02170 Haukilahti   (Espoo )",2644,2.1,42.3,190,100,679,151,303,292,292,1055,920,1810,761,73
"02180 Mankkaa   (Espoo )",2453,2.8,37.5,37,55,1052,267,537,471,405,867,548,1998,394,61
"02200 Niittykumpu   (Espoo )",4982,2.1,36.5,569,412,1315,424,774,517,358,2599,1087,2696,2176,110
"02210 Olari   (Espoo )",5425,2.0,37.0,563,262,1249,332,641,537,425,2639,1561,3617,1678,130
"02230 Matinkylä   (Espoo )",10221,2.0,34.9,1253,819,2317,675,1244,931,774,5536,2407,4649,5368,204
"02240 Friisilä   (Espoo )",783,2.7,46.2,29,21,293,51,116,148,125,274,224,695,62,26
"02260 Kaitaa   (Espoo )",1580,2.3,36.8,87,46,496,116,216,245,204,735,354,1042,511,27
"02270 Finnoo-Eestinmalmi   (Espoo )",830,2.7,37.8,14,26,327,71,145,150,130,320,192,613,191,26
"02280 Malminmäki-Eestinlaakso   (Espoo )",1788,2.5,33.6,79,66,721,217,376,283,261,828,244,879,896,13
"02290 Puolarmetsän sairaala   (Espoo )",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"02300 Nöykkiönpuro   (Espoo )",851,3.0,43.5,6,16,375,67,143,196,176,293,190,764,71,16
"02320 Espoonlahti   (Espoo )",8085,2.0,36.1,696,356,1764,493,908,752,615,3887,2464,4687,3232,166
"02330 Saunalahti-Kattilalaakso   (Espoo )",3413,2.6,39.0,290,140,1347,337,726,676,450,1515,565,2103,1261,49
"02340 Latokaski   (Espoo )",1797,2.8,32.6,18,71,831,257,447,380,262,646,330,1465,322,10
"02360 Soukka   (Espoo )",4394,2.2,39.3,277,142,1136,297,553,500,414,1895,1379,2980,1310,104
"02380 Suvisaaristo   (Espoo )",243,2.6,65.5,1,0,88,7,28,41,52,65,100,206,12,25
"02400 Kirkkonummi Keskus   (Kirkkonummi )",5428,2.3,40.2,317,189,1561,306,669,757,683,2303,1591,3447,1884,97
"02410 Gesterby   (Kirkkonummi )",1220,1.7,38.4,144,46,207,58,99,78,79,691,324,636,554,30
"02420 Jorvas   (Kirkkonummi )",670,2.8,51.4,6,4,252,41,91,147,118,224,202,613,36,21
"02430 Masala   (Kirkkonummi )",1823,2.4,34.1,122,53,667,198,350,297,214,825,341,989,812,22
"02440 Luoma   (Kirkkonummi )",242,2.6,56.6,6,2,76,12,29,36,31,86,84,225,12,5
"02450 Sundsberg   (Kirkkonummi )",682,3.0,38.0,16,38,390,115,238,216,74,243,52,602,70,10
"02460 Kantvik   (Kirkkonummi )",769,2.3,42.8,65,29,215,47,91,103,97,401,156,558,188,23
"02470 Upinniemi   (Kirkkonummi )",207,1.6,39.0,43,11,28,5,8,16,16,156,24,2,205,0
"02480 Porkkala   (Kirkkonummi )",1672,2.7,44.9,80,42,657,170,342,307,242,656,376,1366,238,68
"02490 Pikkala   (Siuntio )",165,1.9,44.9,22,7,29,11,21,7,8,101,36,115,44,6
"02510 Oitmäki   (Kirkkonummi )",199,2.5,45.2,7,4,59,14,25,25,32,87,57,149,38,12
"02520 Lapinkylä   (Kirkkonummi )",316,2.5,49.7,5,4,92,23,46,44,37,113,117,297,13,6
"02540 Kylmälä   (Kirkkonummi )",259,2.5,49.9,4,4,75,13,29,41,34,113,72,244,10,5
"02550 Evitskog   (Kirkkonummi )",342,2.4,50.4,12,7,100,29,59,48,32,151,94,310,19,13
"02570 Siuntio Kirkonkylä   (Siuntio )",551,2.4,47.8,22,8,161,34,71,78,61,238,157,495,39,17
"02580 Siuntio Asemanseutu   (Siuntio )",1399,2.4,48.1,50,22,466,110,218,234,183,524,419,1165,194,40
"02590 Lappers   (Siuntio )",93,2.6,50.7,0,1,37,7,19,16,16,29,27,90,2,1
"02600 Etelä-Leppävaara   (Espoo )",5378,2.0,32.1,755,610,1272,429,745,518,368,3175,943,1912,3400,66
"02610 Kilo   (Espoo )",2621,2.3,31.0,343,222,809,277,472,324,260,1535,283,934,1659,28
"02620 Karakallio   (Espoo )",3551,2.3,34.5,259,162,1181,295,601,561,394,1508,878,2125,1374,52
"02630 Nihtisilta   (Espoo )",1482,2.3,33.5,120,143,474,143,265,203,133,819,191,822,649,11
