"Postal code area","Inhabitants, 2014 (PT)","Labour force, 2014 (PT)","Employed, 2014 (PT)","Unemployed, 2014 (PT)","Persons outside the labour force, 2014 (PT)","Children aged 0 to 14, 2014 (PT)","Students, 2014 (PT)","Pensioners, 2014 (PT)","Others, 2014 (PT)"
"04410 Järvenpää Keskus   (Järvenpää )",9870,5038,4493,545,4832,1707,712,2118,295
"04420 Kyrölä   (Järvenpää )",3781,2120,1963,157,1661,757,246,566,92
"04430 Kinnari-Mikonkorpi   (Järvenpää )",9034,5017,4688,329,4017,1737,668,1387,225
"04440 Jamppa   (Järvenpää )",4518,2263,1865,398,2255,743,384,933,195
"04460 Nummenkylä   (Tuusula )",1966,1105,993,112,861,517,124,167,53
"04480 Haarajoki   (Mäntsälä )",2353,1200,1127,73,1153,690,150,264,49
"04500 Kellokoski   (Tuusula )",5940,3051,2809,242,2889,1395,436,935,123
"04530 Ohkola   (Mäntsälä )",937,452,422,30,485,223,79,163,20
"04600 Mäntsälä Keskus   (Mäntsälä )",9181,4384,3986,398,4797,1678,590,2311,218
"04620 Kaunismäki   (Mäntsälä )",1925,1026,977,49,899,615,118,125,41
"04630 Sääksjärvi   (Mäntsälä )",897,434,388,46,463,179,85,165,34
"04660 Numminen   (Mäntsälä )",1764,889,825,64,875,417,132,280,46
"04680 Hirvihaara   (Mäntsälä )",747,366,327,39,381,149,53,148,31
"04740 Sälinkää   (Mäntsälä )",1212,565,514,51,647,252,84,275,36
"04770 Sahakylä   (Mäntsälä )",226,104,96,8,122,47,16,50,9
"04820 Kaukalampi   (Mäntsälä )",299,165,153,12,134,64,13,52,5
"04840 Hautjärvi   (Mäntsälä )",265,134,126,8,131,39,28,56,8
"04920 Saarentaus   (Mäntsälä )",339,170,163,7,169,71,19,66,13
"04940 Levanto   (Mäntsälä )",300,135,119,16,165,68,19,66,12
"05100 Röykkä   (Nurmijärvi )",2307,1222,1105,117,1085,537,149,339,60
"05200 Rajamäki   (Nurmijärvi )",6738,3291,2967,324,3447,1611,464,1174,198
"05250 Kiljava   (Nurmijärvi )",177,100,88,12,77,27,11,37,2
"05400 Jokela   (Tuusula )",6470,3325,3042,283,3145,1425,454,1122,144
"05430 Nuppulinna   (Tuusula )",1027,554,501,53,473,194,66,189,24
"05440 Hyvinkää   (Hyvinkää )",283,158,149,9,125,86,15,20,4
"05450 Nukari   (Nurmijärvi )",1111,544,502,42,567,258,82,190,37
"05460 Hakalanmäki-Hakala   (Hyvinkää )",3368,1824,1625,199,1544,592,185,666,101
"05470 Palopuro   (Hyvinkää )",328,157,142,15,171,64,26,67,14
"05510 Päivärinta   (Hyvinkää )",464,237,208,29,227,73,29,111,14
"05620 Noppo   (Hyvinkää )",1355,721,663,58,634,321,93,177,43
"05720 Kytäjä   (Hyvinkää )",543,286,260,26,257,123,27,89,18
"05800 Hyvinkää Keskus   (Hyvinkää )",9371,4464,3902,562,4907,945,581,3126,255
"05810 Martti   (Hyvinkää )",5551,2895,2660,235,2656,1472,492,541,151
"05820 Mustamännistö   (Hyvinkää )",5175,2611,2300,311,2564,1023,422,946,173
"05830 Kirjavatolppa-Kruununpuisto   (Hyvinkää )",7185,3744,3359,385,3441,1087,469,1722,163
"05840 Hyvinkäänkylä-Vehkoja   (Hyvinkää )",3845,2023,1763,260,1822,729,259,694,140
"05850 Hyvinkää, sairaala-alue   (Hyvinkää )",.,.,.,.,.,.,.,.,.
"05860 Talvisilta   (Hyvinkää )",1442,714,645,69,728,242,114,323,49
"05880 Paavola-Vaivero   (Hyvinkää )",3517,1607,1306,301,1910,499,221,1002,188
"05900 Vieremä   (Hyvinkää )",3933,1814,1585,229,2119,450,227,1319,123
"05950 Ridasjärvi   (Hyvinkää )",413,220,205,15,193,73,24,91,5
"06100 Porvoo Keskus   (Porvoo )",18336,8982,8105,877,9354,2765,1297,4821,471
"06150 Kevätkumpu   (Porvoo )",5779,2841,2467,374,2938,949,381,1404,204
"06200 Porvoo itäinen   (Porvoo )",2621,1346,1245,101,1275,482,148,566,79
"06400 Gammelbacka   (Porvoo )",7092,3566,3053,513,3526,1425,527,1307,267
"06450 Eestinmäki-Ernestas   (Porvoo )",2010,1105,1023,82,905,351,134,373,47
"06500 Saksala-Suomenkylä   (Porvoo )",2190,1178,1057,121,1012,384,157,423,48
"06530 Kerkkoo   (Porvoo )",833,450,416,34,383,196,40,131,16
"06650 Hamari   (Porvoo )",1488,762,681,81,726,279,103,306,38
"06750 Tolkkinen   (Porvoo )",1801,916,857,59,885,450,119,283,33
"06830 Kulloonkylä   (Porvoo )",1107,549,504,45,558,255,78,199,26
"06850 Kulloo   (Porvoo )",16,9,..,..,7,..,..,..,..
"06880 Kärrby   (Sipoo )",369,184,169,15,185,54,25,93,13
"06950 Emäsalo   (Porvoo )",395,187,173,14,208,57,22,112,17
"07110 Hinthaara   (Porvoo )",1544,754,687,67,790,403,109,246,32
"07130 Anttila   (Porvoo )",681,322,301,21,359,159,43,139,18
"07150 Laukkoski   (Pornainen )",986,483,452,31,503,236,66,175,26
"07170 Keski-Pornainen   (Pornainen )",2561,1292,1197,95,1269,618,200,391,60
"07190 Halkia   (Pornainen )",1468,770,699,71,698,355,87,215,41
"07220 Kaarenkylä   (Porvoo )",298,156,141,15,142,52,12,72,6
"07230 Monninkylä   (Askola )",1632,815,743,72,817,363,112,304,38
"07280 Ilola   (Porvoo )",939,494,448,46,445,197,71,155,22
"07310 Sannainen   (Porvoo )",418,219,204,15,199,93,28,60,18
"07320 Jakari-Sannäs   (Porvoo )",459,240,228,12,219,88,21,101,9
"07350 Gäddrag   (Porvoo )",94,41,36,5,53,17,7,23,6
"07360 Tirmo   (Porvoo )",54,33,32,1,21,..,..,..,..
"07370 Pellinki   (Porvoo )",142,61,55,6,81,13,9,58,1
"07390 Suurpellinki   (Porvoo )",120,58,58,0,62,26,7,26,3
"07410 Kråkö   (Porvoo )",333,161,149,12,172,46,18,105,3
"07450 Voolahti   (Porvoo )",422,192,182,10,230,78,21,116,15
"07500 Askola Kirkonkylä   (Askola )",1155,553,507,46,602,256,69,255,22
"07510 Vakkola   (Askola )",678,372,333,39,306,129,34,121,22
"07530 Onkimaa   (Askola )",305,156,135,21,149,47,15,83,4
"07550 Torpinkylä   (Pukkila )",302,135,127,8,167,56,34,69,8
"07560 Pukkila Keskus   (Pukkila )",1404,669,594,75,735,262,79,358,36
"07565 Kantele   (Pukkila )",272,139,125,14,133,40,18,64,11
"07580 Tiilää   (Askola )",68,42,39,3,26,..,..,..,..
"07590 Huuvari-Tiilää   (Askola )",649,336,307,29,313,145,45,110,13
"07600 Myrskylä Keskus   (Myrskylä )",1733,787,674,113,946,286,101,512,47
"07680 Juornaankylä   (Askola )",542,276,242,34,266,98,32,123,13
"07690 Kankkila   (Myrskylä )",137,67,56,11,70,15,9,42,4
"07700 Koskenkylän saha-alue   (Loviisa )",1231,665,598,67,566,266,65,206,29
