"Postal code area","Aged 18 or over, total, 2014 (KO)","Basic level studies, 2014 (KO)","With education, total, 2014 (KO)","Matriculation examination, 2014 (KO)","Vocational diploma, 2014 (KO)","Academic degree - Lower level university degree, 2014 (KO)","Academic degree - Higher level university degree, 2014 (KO)"
"07370 Pellinki   (Porvoo )",123,46,77,6,59,9,3
"07390 Suurpellinki   (Porvoo )",92,22,70,5,50,10,5
"07410 Kråkö   (Porvoo )",278,103,175,12,108,31,24
"07450 Voolahti   (Porvoo )",333,103,230,9,181,31,9
"07500 Askola Kirkonkylä   (Askola )",857,281,576,37,420,79,40
"07510 Vakkola   (Askola )",523,153,370,22,280,45,23
"07530 Onkimaa   (Askola )",250,90,160,15,114,23,8
"07550 Torpinkylä   (Pukkila )",226,66,160,11,126,11,12
"07560 Pukkila Keskus   (Pukkila )",1085,346,739,42,591,65,41
"07565 Kantele   (Pukkila )",217,66,151,12,116,16,7
"07580 Tiilää   (Askola )",54,17,37,2,29,4,2
"07590 Huuvari-Tiilää   (Askola )",483,126,357,26,273,35,23
"07600 Myrskylä Keskus   (Myrskylä )",1394,498,896,69,699,80,48
"07680 Juornaankylä   (Askola )",424,128,296,16,245,23,12
"07690 Kankkila   (Myrskylä )",115,36,79,6,62,8,3
"07700 Koskenkylän saha-alue   (Loviisa )",921,283,638,50,453,77,58
"07720 Malmgård   (Loviisa )",71,28,43,1,30,8,4
"07740 Gammelby   (Loviisa )",326,94,232,16,166,23,27
"07750 Isnäs   (Loviisa )",430,161,269,17,206,29,17
"07780 Härkäpää   (Loviisa )",156,59,97,2,78,9,8
"07800 Lapinjärvi Keskus   (Lapinjärvi )",748,299,449,29,333,51,36
"07810 Ingermaninkylä   (Lapinjärvi )",220,82,138,7,119,8,4
"07820 Porlammi   (Lapinjärvi )",426,168,258,13,203,21,21
"07830 Pukaro   (Lapinjärvi )",238,83,155,10,122,12,11
"07840 Lindkoski   (Lapinjärvi )",161,57,104,7,77,14,6
"07850 Heikinkylä   (Lapinjärvi )",260,88,172,11,127,15,19
"07870 Skinnarby   (Loviisa )",363,124,239,22,177,24,16
"07880 Liljendal Keskus   (Loviisa )",833,278,555,36,426,51,42
"07890 Mickelspiltom   (Loviisa )",167,54,113,4,89,14,6
"07900 Loviisa Keskus   (Loviisa )",3480,1244,2236,191,1518,297,230
"07910 Valko   (Loviisa )",966,360,606,41,468,69,28
"07920 Etelä-Harju   (Loviisa )",1186,411,775,54,555,104,62
"07930 Pernaja Kirkonkylä   (Loviisa )",526,164,362,22,258,51,31
"07940 Määrlahti   (Loviisa )",829,343,486,28,376,52,30
"07945 Kuggom   (Loviisa )",399,139,260,17,196,30,17
"07955 Tesjoki   (Loviisa )",977,358,619,38,461,68,52
"07960 Ahvenkoski   (Loviisa )",117,41,76,2,59,8,7
"07970 Ruotsinpyhtää Keskus   (Loviisa )",482,191,291,10,240,20,21
"07980 Kuninkaankylä   (Loviisa )",256,88,168,10,133,17,8
"07990 Ruotsinkylä-Koskisto   (Loviisa )",252,92,160,10,126,17,7
"08100 Lohja Keskus   (Lohja )",6824,2173,4651,400,3130,567,554
"08150 Keskilohja   (Lohja )",3975,1040,2935,216,1884,462,373
"08200 Ojamo   (Lohja )",3151,1094,2057,145,1603,193,116
"08350 Routio   (Lohja )",2019,605,1414,99,998,191,126
"08360 Kisakallio   (Lohja )",.,.,.,.,.,.,.
"08450 Hormajärvi   (Lohja )",245,92,153,7,110,20,16
"08480 Karstu   (Lohja )",200,55,145,9,101,26,9
"08500 Ventelä-Millola   (Lohja )",4926,1388,3538,248,2412,516,362
"08680 Muijala   (Lohja )",1301,293,1008,70,604,180,154
"08700 Virkkala   (Lohja )",5794,1719,4075,267,2952,521,335
"08800 Kirkniemi   (Lohja )",1215,294,921,64,633,146,78
"09120 Karjalohja   (Lohja )",970,325,645,58,441,79,67
"09220 Sammatti   (Lohja )",1225,377,848,57,638,105,48
