"Postal code area","Households, total, 2016 (TE)","Average size of households, 2016 (TE)","Occupancy rate, 2016 (TE)","Young single persons, 2016 (TE)","Young couples without children, 2016 (TE)","Households with children, 2016 (TE)","Households with small children, 2016 (TE)","Households with children under school age, 2016 (TE)","Households with school-age children, 2016 (TE)","Households with teenagers, 2016 (TE)","Adult households, 2016 (TE)","Pensioner households, 2016 (TE)","Households living in owner-occupied dwellings, 2016 (TE)","Households living in rented dwellings, 2016 (TE)","Households living in other dwellings, 2016 (TE)"
"02550 Evitskog   (Kirkkonummi )",341,2.5,49.5,7,6,104,29,56,54,33,144,96,316,17,8
"02570 Siuntio Kirkonkylä   (Siuntio )",544,2.4,48.5,19,10,154,28,66,78,68,239,156,488,39,17
"02580 Siuntio Asemanseutu   (Siuntio )",1413,2.4,48.2,56,19,462,114,207,234,194,519,442,1160,207,46
"02590 Lappers   (Siuntio )",90,2.8,49.4,1,0,36,7,17,16,15,26,29,86,3,1
"02600 Etelä-Leppävaara   (Espoo )",5434,2.0,31.9,764,580,1305,423,770,524,383,3128,1016,1877,3488,69
"02610 Kilo   (Espoo )",2646,2.3,30.6,330,217,837,275,491,337,271,1511,308,936,1679,31
"02620 Karakallio   (Espoo )",3581,2.3,34.9,268,148,1192,303,592,565,430,1518,880,2090,1435,56
"02630 Nihtisilta   (Espoo )",1510,2.3,33.3,119,139,494,170,280,198,143,817,202,829,669,12
"02650 Pohjois-Leppävaara   (Espoo )",5592,1.9,33.2,791,564,1054,397,693,374,252,3462,1092,2792,2719,81
"02660 Lintuvaara   (Espoo )",2217,2.8,34.1,136,91,886,199,397,448,387,965,376,1351,823,43
"02680 Uusmäki   (Espoo )",1049,2.4,34.3,146,105,378,132,236,163,81,530,144,548,468,33
"02700 Kauniainen   (Kauniainen )",3812,2.4,47.6,222,100,1110,179,413,553,521,1404,1330,2553,1097,162
"02710 Viherlaakso   (Espoo )",2813,2.1,37.6,232,97,672,179,325,309,228,1291,860,2039,708,66
"02720 Lähderanta   (Espoo )",1346,2.2,37.2,146,41,373,91,176,169,150,615,364,993,317,36
"02730 Jupperi   (Espoo )",1618,2.8,45.3,13,26,630,95,237,314,296,557,445,1509,61,48
"02740 Bemböle-Pakankylä   (Espoo )",1234,2.6,36.3,87,55,487,153,262,215,173,608,149,607,606,21
"02750 Sepänkylä-Kuurinniitty   (Espoo )",2482,2.5,35.1,257,140,979,263,507,458,335,1191,326,1435,1023,24
"02760 Tuomarila-Suvela   (Espoo )",6422,2.2,32.1,561,387,1915,647,1117,784,570,3311,1211,3266,3066,90
"02770 Espoon Keskus   (Espoo )",4853,2.1,33.0,550,236,1252,352,665,517,443,2640,973,1852,2938,63
"02780 Kauklahti   (Espoo )",4003,2.5,36.1,379,168,1610,429,855,772,544,1821,596,1974,1933,96
"02810 Gumböle-Karhusuo   (Espoo )",578,2.9,37.5,14,11,266,56,135,142,98,210,103,452,106,20
"02820 Nupuri-Nuuksio   (Espoo )",560,2.6,47.3,5,4,175,35,69,94,82,218,173,497,19,44
"02860 Siikajärvi   (Espoo )",263,2.5,42.4,0,1,70,6,24,45,33,112,82,234,16,13
"02880 Veikkola   (Kirkkonummi )",2149,2.7,41.7,41,58,891,178,393,454,386,760,516,1851,258,40
"02920 Niipperi   (Espoo )",1822,2.9,35.1,49,38,856,208,412,424,353,645,335,1263,508,51
"02940 Lippajärvi-Järvenperä   (Espoo )",4250,2.4,36.6,279,121,1465,330,664,695,575,1993,804,2653,1533,64
"02970 Kalajärvi   (Espoo )",1379,2.6,39.2,38,28,531,129,256,260,205,542,312,1058,285,36
"02980 Lakisto   (Espoo )",176,1.7,45.3,16,4,19,2,5,6,10,130,27,53,111,12
"03100 Nummela   (Vihti )",7057,2.1,40.1,638,255,1887,459,933,891,682,3270,1919,4731,2176,150
"03150 Huhmari   (Vihti )",325,2.4,51.1,3,8,81,13,22,39,49,148,98,297,5,23
"03220 Tervalampi   (Vihti )",248,2.4,50.0,5,5,65,8,22,27,38,96,89,235,9,4
"03250 Ojakkala   (Vihti )",738,2.7,43.9,15,19,280,47,121,143,121,277,183,692,29,17
"03300 Otalampi   (Vihti )",913,2.6,44.0,16,25,315,71,149,167,131,360,254,857,28,28
"03320 Selki   (Vihti )",139,2.5,48.7,4,1,39,9,18,22,17,60,40,123,9,7
"03400 Vihti Kirkonkylä   (Vihti )",2733,2.4,42.9,99,73,791,158,353,394,370,1127,838,2258,398,77
"03430 Jokikunta   (Vihti )",207,2.6,45.8,3,5,76,13,37,36,35,73,62,192,4,11
"03600 Karkkila Keskus   (Karkkila )",3179,2.0,40.6,201,53,698,154,312,358,305,1303,1195,2382,712,85
"03620 Polari   (Karkkila )",974,2.2,42.0,57,22,242,60,124,106,106,429,307,713,242,19
"03710 Uusitalo   (Karkkila )",79,2.5,47.9,1,1,23,6,8,11,10,29,28,76,2,1
"03790 Vihtijärvi   (Vihti )",214,2.4,48.7,4,6,61,10,26,32,21,83,75,190,12,12
"03810 Ikkala   (Lohja )",282,2.1,45.9,13,3,67,10,27,33,30,123,93,235,38,9
"03850 Pusula   (Lohja )",774,2.1,45.1,27,17,149,38,68,75,69,304,329,653,101,20
"03870 Hyönölä   (Lohja )",89,2.1,50.7,1,2,16,7,8,10,3,36,37,83,3,3
"04130 Sipoo   (Sipoo )",3132,2.3,42.2,163,72,902,170,383,424,396,1342,913,2305,746,81
"04150 Martinkylä   (Sipoo )",252,2.6,45.0,4,7,79,18,32,38,36,104,74,240,4,8
"04170 Paippinen   (Sipoo )",484,2.6,45.8,5,9,158,38,89,79,57,179,151,465,4,15
"04200 Kerava Keskus   (Kerava )",6162,1.8,38.1,685,292,1039,249,496,460,396,2983,2157,3606,2473,83
"04220 Ahjo-Kaskela   (Kerava )",2261,2.3,36.2,232,86,736,170,330,341,299,1197,333,1135,1087,39
"04230 Pihkaniitty   (Kerava )",3330,2.3,38.8,212,140,987,229,498,487,350,1436,920,2447,847,36
