"Postal code area","Households, total, 2015 (TR)","Average income of households, 2015 (TR)","Median income of households, 2015 (TR)","Households belonging to the lowest income category, 2015 (TR)","Households belonging to the middle income category, 2015 (TR)","Households belonging to the highest income category, 2015 (TR)","Accumulated purchasing power of households, 2015 (TR)"
"04660 Numminen   (Mäntsälä )",646,49871,47937,101,369,176,32216639
"04680 Hirvihaara   (Mäntsälä )",251,47511,45201,45,141,65,11925289
"04740 Sälinkää   (Mäntsälä )",481,42115,39646,99,295,87,20257242
"04770 Sahakylä   (Mäntsälä )",86,41293,38254,21,49,16,3551196
"04820 Kaukalampi   (Mäntsälä )",118,55758,50082,18,60,40,6579422
"04840 Hautjärvi   (Mäntsälä )",112,46791,43330,21,62,29,5240599
"04920 Saarentaus   (Mäntsälä )",145,44732,41178,18,98,29,6486075
"04940 Levanto   (Mäntsälä )",120,43245,43424,29,66,25,5189428
"05100 Röykkä   (Nurmijärvi )",890,49808,48185,113,530,247,44329444
"05200 Rajamäki   (Nurmijärvi )",2743,46190,42645,385,1693,665,126698444
"05250 Kiljava   (Nurmijärvi )",78,45616,41086,10,53,15,3558070
"05400 Jokela   (Tuusula )",2682,47306,43204,393,1624,665,126874221
"05430 Nuppulinna   (Tuusula )",406,53450,49474,43,230,133,21700515
"05440 Hyvinkää   (Hyvinkää )",125,65002,64495,6,63,56,8125237
"05450 Nukari   (Nurmijärvi )",403,51831,47821,64,230,109,20887741
"05460 Hakalanmäki-Hakala   (Hyvinkää )",1555,41018,37065,233,998,324,63782892
"05470 Palopuro   (Hyvinkää )",130,46441,43911,27,67,36,6037284
"05510 Päivärinta   (Hyvinkää )",222,40941,35244,47,124,51,9089012
"05620 Noppo   (Hyvinkää )",489,54328,51588,45,278,166,26566412
"05720 Kytäjä   (Hyvinkää )",212,55373,47499,37,101,74,11739111
"05800 Hyvinkää Keskus   (Hyvinkää )",5594,33858,26730,1448,3311,835,189403671
"05810 Martti   (Hyvinkää )",2118,51488,46402,336,1189,593,109050536
"05820 Mustamännistö   (Hyvinkää )",2270,45850,36705,475,1325,470,104078778
"05830 Kirjavatolppa-Kruununpuisto   (Hyvinkää )",3567,41724,35373,616,2133,818,148830358
"05840 Hyvinkäänkylä-Vehkoja   (Hyvinkää )",1715,43128,36854,325,1029,361,73965223
"05850 Hyvinkää, sairaala-alue   (Hyvinkää )",.,.,.,.,.,.,.
"05860 Talvisilta   (Hyvinkää )",675,40033,35242,135,405,135,27022531
"05880 Paavola-Vaivero   (Hyvinkää )",1804,32161,27618,574,1049,181,58019326
"05900 Vieremä   (Hyvinkää )",2159,37056,29495,484,1266,409,80003307
"05950 Ridasjärvi   (Hyvinkää )",168,43960,39701,27,102,39,7385288
"06100 Porvoo Keskus   (Porvoo )",9375,42535,32762,1925,5155,2295,398768068
"06150 Kevätkumpu   (Porvoo )",2872,38281,31903,680,1696,496,109941722
"06200 Porvoo itäinen   (Porvoo )",1070,50967,44756,162,612,296,54535181
"06400 Gammelbacka   (Porvoo )",3338,41133,34864,725,1828,785,137301941
"06450 Eestinmäki-Ernestas   (Porvoo )",941,48002,41152,129,526,286,45169665
"06500 Saksala-Suomenkylä   (Porvoo )",865,53611,47308,110,488,267,46373722
"06530 Kerkkoo   (Porvoo )",319,50934,48275,28,191,100,16248013
"06650 Hamari   (Porvoo )",620,50945,46869,72,345,203,31586191
"06750 Tolkkinen   (Porvoo )",667,54527,51267,55,399,213,36369556
"06830 Kulloonkylä   (Porvoo )",424,54505,50844,45,248,131,23110298
"06850 Kulloo   (Porvoo )",10,..,..,..,..,..,..
"06880 Kärrby   (Sipoo )",153,54920,46141,24,75,54,8402730
"06950 Emäsalo   (Porvoo )",184,46344,42025,36,92,56,8527305
"07110 Hinthaara   (Porvoo )",553,54639,49555,72,328,153,30215498
"07130 Anttila   (Porvoo )",257,47253,45467,45,144,68,12144017
"07150 Laukkoski   (Pornainen )",374,55237,44600,65,206,103,20658518
"07170 Keski-Pornainen   (Pornainen )",943,48032,45776,144,552,247,45294198
"07190 Halkia   (Pornainen )",532,49217,48843,88,303,141,26183331
"07220 Kaarenkylä   (Porvoo )",134,45259,42568,25,73,36,6064732
"07230 Monninkylä   (Askola )",666,45875,40483,107,414,145,30552455
"07280 Ilola   (Porvoo )",362,47284,44553,59,222,81,17116796
"07310 Sannainen   (Porvoo )",149,51753,49833,22,86,41,7711242
"07320 Jakari-Sannäs   (Porvoo )",187,46934,46425,26,111,50,8776636
"07350 Gäddrag   (Porvoo )",37,46272,39218,4,22,11,1712064
"07360 Tirmo   (Porvoo )",23,..,..,..,..,..,..
"07370 Pellinki   (Porvoo )",65,38627,31074,20,33,12,2510779
"07390 Suurpellinki   (Porvoo )",49,46150,39527,12,28,9,2261351
"07410 Kråkö   (Porvoo )",146,53187,43206,27,79,40,7765324
"07450 Voolahti   (Porvoo )",174,45934,44952,28,104,42,7992564
"07500 Askola Kirkonkylä   (Askola )",462,44323,39729,80,285,97,20477229
"07510 Vakkola   (Askola )",283,47047,43820,48,160,75,13314378
"07530 Onkimaa   (Askola )",139,42966,36220,37,69,33,5972341
"07550 Torpinkylä   (Pukkila )",119,42636,42824,28,72,19,5073626
"07560 Pukkila Keskus   (Pukkila )",624,39537,34230,142,371,111,24670887
"07565 Kantele   (Pukkila )",115,43420,39483,30,56,29,4993322
"07580 Tiilää   (Askola )",35,47895,36868,5,21,9,1676317
"07590 Huuvari-Tiilää   (Askola )",255,46803,43241,34,153,68,11934835
"07600 Myrskylä Keskus   (Myrskylä )",779,37315,31764,207,458,114,29068500
"07680 Juornaankylä   (Askola )",231,42476,37509,57,128,46,9811968
"07690 Kankkila   (Myrskylä )",61,39468,36165,12,37,12,2407523
"07700 Koskenkylän saha-alue   (Loviisa )",540,41645,38497,106,319,115,22488113
"07720 Malmgård   (Loviisa )",38,36231,33353,17,15,6,1376794
"07740 Gammelby   (Loviisa )",181,45303,43389,34,102,45,8199761
"07750 Isnäs   (Loviisa )",256,37799,34070,69,143,44,9676636
"07780 Härkäpää   (Loviisa )",94,41758,29127,29,40,25,3925240
"07800 Lapinjärvi Keskus   (Lapinjärvi )",461,32706,27982,139,275,47,15077300
"07810 Ingermaninkylä   (Lapinjärvi )",131,38801,35286,31,78,22,5082867
