Postal code	Surface area (2013)	Surface area (2014)	Surface area (2015)	Surface area (2016)	Surface area (2017)
22920	93133722.0	89944211.0	89944211.0	19717447.0	19717447.0
22930	566354522.0	613550732.0	613550732.0	9479487.0	9479487.0
22940	52656468.0	50881531.0	50881531.0	11813296.0	11813296.0
22950	83291784.0	79892119.0	79892119.0	7059329.0	7059329.0
23100	465828472.0	465549215.0	465549215.0	465549215.0	466491380.0
23120	32736101.0	31265241.0	31265241.0	28569211.0	28569211.0
23140	47804542.0	39074555.0	39074555.0	29993348.0	29993348.0
23200	107951251.0	106957225.0	106957225.0	106957225.0	106957225.0
23210	79465163.0	78819688.0	78819688.0	78819688.0	78819688.0
23260	33396660.0	27809265.0	27809265.0	19547389.0	19547389.0
23310	304808218.0	217694599.0	217694599.0	141410151.0	141410151.0
23360	504007028.0	515796666.0	515796666.0	157509263.0	157509263.0
23390	317325396.0	321712383.0	321712383.0	57329753.0	57329753.0
23450	225116017.0	168942699.0	168942699.0	109314481.0	109314481.0
23500	473421635.0	480307922.0	480307922.0	149870263.0	149603920.0
23600	112912204.0	113812182.0	113812182.0	113812182.0	114208737.0
23660	44100994.0	44980668.0	44980668.0	44980668.0	44980668.0
23800	494243047.0	497081916.0	497081916.0	496896275.0	494784519.0
23840	7585339.0	6061500.0	6061500.0	6247141.0	6247141.0
23880	1820021.0	1733353.0	1733353.0	1733353.0	1733353.0
23930	1814890705.0	1758997332.0	1758997332.0	81966252.0	81966252.0
23950	55763804.0	50448318.0	50448318.0	45302033.0	46232071.0
23960	31859727.0	25892016.0	25892016.0	18785744.0	18785744.0
24100	21288562.0	20522967.0	20522967.0	19183434.0	19183434.0
24130	61930265.0	61243888.0	61243888.0	57574213.0	57574213.0
24240	19111502.0	19185670.0	19185670.0	19185670.0	19185670.0
24260	40813085.0	41190743.0	41659847.0	41659847.0	41659847.0
24280	17941194.0	18122813.0	18122813.0	18122813.0	18122813.0
24800	31193217.0	30751227.0	30751227.0	30667947.0	30667947.0
24910	28743431.0	28322019.0	28322019.0	27458076.0	27458076.0
25110	67594705.0	66620718.0	66620718.0	66620718.0	66620718.0
25130	83933987.0	83348896.0	83348896.0	83348896.0	83348896.0
25160	15337178.0	14862133.0	14862133.0	14862133.0	14862133.0
25170	23955380.0	24377130.0	24377130.0	24377130.0	24377130.0
25180	29342588.0	29342588.0	29342588.0	29342588.0	29342588.0
25190	23180326.0	22799586.0	22799586.0	22799586.0	22799586.0
25210	23942829.0	19730698.0	19730698.0	13474772.0	13474772.0
25230	52244736.0	47080419.0	47080419.0	37240701.0	37240701.0
25240	101722756.0	103856277.0	104011149.0	104011149.0	104011149.0
25250	12924662.0	13142354.0	13142354.0	13142354.0	13142354.0
25260	117361042.0	120408746.0	121233671.0	121233671.0	121233671.0
25320	47088290.0	45430779.0	43535539.0	43535539.0	43535539.0
25330	42967839.0	43070265.0	42911754.0	42911754.0	42911754.0
25340	39672578.0	40178626.0	38696320.0	38696320.0	38696320.0
25360	25263808.0	24737639.0	24270593.0	24270593.0	24270593.0
25370	75474952.0	74162597.0	74334206.0	74334206.0	74334206.0
