"Year","Quarter","Building type","Postal code","Year of construction","Mean"
"2005","Whole year","Building types total","19700","Year of construction, total",796
"2005","Whole year","Building types total","19740","Year of construction, total",.
"2005","Whole year","Building types total","19770","Year of construction, total",.
"2005","Whole year","Building types total","19910","Year of construction, total",.
"2005","Whole year","Building types total","19950","Year of construction, total",.
"2005","Whole year","Building types total","20100","Year of construction, total",1973
"2005","Whole year","Building types total","20200","Year of construction, total",1433
"2005","Whole year","Building types total","20210","Year of construction, total",975
"2005","Whole year","Building types total","20240","Year of construction, total",831
"2005","Whole year","Building types total","20250","Year of construction, total",.
"2005","Whole year","Building types total","20300","Year of construction, total",1328
"2005","Whole year","Building types total","20320","Year of construction, total",1325
"2005","Whole year","Building types total","20360","Year of construction, total",1034
"2005","Whole year","Building types total","20380","Year of construction, total",1556
"2005","Whole year","Building types total","20400","Year of construction, total",1521
"2005","Whole year","Building types total","20460","Year of construction, total",920
"2005","Whole year","Building types total","20500","Year of construction, total",1942
"2005","Whole year","Building types total","20520","Year of construction, total",1851
"2005","Whole year","Building types total","20540","Year of construction, total",1336
"2005","Whole year","Building types total","20610","Year of construction, total",1019
"2005","Whole year","Building types total","20660","Year of construction, total",1749
"2005","Whole year","Building types total","20700","Year of construction, total",2011
"2005","Whole year","Building types total","20720","Year of construction, total",1453
"2005","Whole year","Building types total","20730","Year of construction, total",.
"2005","Whole year","Building types total","20740","Year of construction, total",1387
"2005","Whole year","Building types total","20750","Year of construction, total",915
"2005","Whole year","Building types total","20760","Year of construction, total",1273
"2005","Whole year","Building types total","20780","Year of construction, total",1356
"2005","Whole year","Building types total","20810","Year of construction, total",1853
"2005","Whole year","Building types total","20880","Year of construction, total",1465
"2005","Whole year","Building types total","20900","Year of construction, total",1923
"2005","Whole year","Building types total","20960","Year of construction, total",.
"2005","Whole year","Building types total","21100","Year of construction, total",1514
"2005","Whole year","Building types total","21110","Year of construction, total",1357
"2005","Whole year","Building types total","21120","Year of construction, total",.
"2005","Whole year","Building types total","21130","Year of construction, total",.
"2005","Whole year","Building types total","21140","Year of construction, total",931
"2005","Whole year","Building types total","21150","Year of construction, total",.
"2005","Whole year","Building types total","21160","Year of construction, total",1377
"2005","Whole year","Building types total","21195","Year of construction, total",.
"2005","Whole year","Building types total","21200","Year of construction, total",1168
"2005","Whole year","Building types total","21210","Year of construction, total",1220
