	Bus stops
51430	10
51440	10
51450	2
51460	1
51520	32
51540	40
51600	54
51620	2
51670	6
51720	13
51740	12
51760	27
51780	0
51810	4
51820	12
51850	8
51860	8
51880	5
51890	1
51900	72
51930	12
51940	20
51980	24
52100	43
52110	19
52150	20
52200	52
52230	13
52270	6
52300	57
52320	14
52330	2
52340	2
52360	0
52420	33
52510	33
52520	7
52550	48
52610	15
52620	9
52700	100
52720	12
52730	13
52740	18
52760	7
52780	2
52830	41
52850	3
52890	18
52920	9
52960	11
52970	0
52980	0
53100	40
53130	3
53200	12
53300	108
53400	43
53420	11
53500	39
53550	20
53600	30
53650	25
53810	14
53830	30
53850	97
53900	12
53920	18
53950	21
54100	79
54110	11
54120	28
54190	4
54230	30
54250	2
54260	33
54270	26
54300	9
54310	17
54330	23
54390	2
54410	41
54430	19
54460	1
54490	12
54500	39
54510	15
54530	24
54550	1
54580	2
